symbol,as_of,source_published_at,retrieved_at,currency,market_cap,enterprise_value,ttm_revenue,revenue_growth_yoy,gross_margin_ttm,operating_margin_ttm,net_income_ttm,cash_and_equivalents,total_debt,shares_outstanding,price_to_sales,enterprise_value_to_sales,pe_ratio,source,notes
NNE,2026-08-24,2026-08-12,2026-08-25T04:05:35.116Z,USD,981065152.00,682593545.00,214042.00,,29.0649,-7393.6928,-33850990.00,298471607.00,,53698146,4583.5170,3189.0636,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
NUCL,2026-08-24,2026-07-20,2026-08-25T04:05:35.116Z,USD,209129176.94,180847126.94,,,,,-30102360.00,28282050.00,,29579798,,,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
NWPX,2026-08-24,2026-07-30,2026-08-25T04:05:35.116Z,USD,1065007213.61,1049287213.61,574436000.00,15.0886,20.8780,11.4674,48752000.00,19320000.00,3600000.00,9637202,1.8540,1.8266,21.8454,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
OCC,2026-08-24,2026-06-08,2026-08-25T04:05:35.116Z,USD,116341075.25,118870719.25,25181165.00,15.4513,37.0180,10.5073,2511254.00,145600.00,2675244.00,8827092,4.6202,4.7206,46.3279,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
OKLO,2026-08-24,2026-08-07,2026-08-25T04:05:35.116Z,USD,7383040273.04,5739036273.04,1210000.00,,,-18003.6364,-152769000.00,1644704000.00,700000.00,186017650,6101.6862,4743.0052,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
POET,2026-08-24,2026-05-18,2026-08-25T04:05:35.116Z,USD,1337614396.50,1332513441.50,,,,,-62963213.00,1759709.00,-3341246.00,172595406,,,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; shares outstanding use a filing-cover override dated 2026-05-18 because companyfacts lacks a current instant fact.
PWR,2026-08-24,2026-08-05,2026-08-25T04:05:35.116Z,USD,92728802339.13,94100980339.13,32905140000.00,26.3011,15.4565,6.1868,1350435000.00,506431000.00,1878609000.00,150343393,2.8181,2.8598,68.6659,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
QBTS,2026-08-24,2026-08-06,2026-08-25T04:05:35.116Z,USD,6897848587.85,6610256587.85,12425000.00,-44.2200,64.1851,-1372.8773,-248697000.00,296642000.00,9050000.00,369263837,555.1588,532.0126,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
QSI,2026-08-24,2026-08-13,2026-08-25T04:05:35.116Z,USD,167489736.65,143836736.65,1605000.00,-52.9601,35.0156,-6887.7882,-98519000.00,23653000.00,,217802000,104.3550,89.6179,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; newer basic weighted-average shares replace a stale instant share-count tag.
QTEX,2026-08-24,2026-07-21,2026-08-25T04:05:35.116Z,USD,48243795.50,45084795.50,289000.00,,0.6920,-4713.8408,-13220000.00,3159000.00,,55708771,166.9335,156.0028,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; shares outstanding use a filing-cover override dated 2026-07-19 because companyfacts lacks a current instant fact.
QUBT,2026-08-24,2026-08-10,2026-08-25T04:05:35.116Z,USD,1865098082.83,1685248082.83,9824000.00,3635.3612,-18.9230,-775.4784,-14977000.00,189150000.00,9300000.00,226346861,189.8512,171.5440,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
RDW,2026-08-24,2026-08-06,2026-08-25T04:05:35.116Z,USD,2844915919.03,2336009919.03,426272000.00,63.1020,20.0952,-50.4983,-244098000.00,556967000.00,48061000.00,249992609,6.6739,5.4801,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
RGTI,2026-08-24,2026-08-06,2026-08-25T04:05:35.116Z,USD,5463794668.50,5468031668.50,13353000.00,68.4921,34.6139,-727.6193,-238672000.00,27763000.00,32000000.00,333768747,409.1811,409.4984,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
RIOT,2026-08-24,2026-08-10,2026-08-25T04:05:35.116Z,USD,7505178700.00,7038804700.00,674514000.00,24.5136,0.0009,-199.2159,-1323915000.00,471383000.00,5009000.00,375258935,11.1268,10.4354,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
RKLB,2026-08-24,2026-08-13,2026-08-25T04:05:35.116Z,USD,40855370180.55,38739014180.55,769146000.00,52.5287,37.2641,-29.0574,-165459000.00,2129485000.00,13129000.00,598350482,53.1178,50.3663,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
SEI,2026-08-24,2026-08-06,2026-08-25T04:05:35.116Z,USD,,,762184000.00,70.5205,,24.2506,78592000.00,824101000.00,1609000000.00,,,,,SEC EDGAR companyfacts,SEC-derived metrics; market-cap multiples unavailable because reported shares outstanding failed the plausibility check.
SMR,2026-08-24,2026-08-11,2026-08-25T04:05:35.116Z,USD,3298936441.33,2542757441.33,10690000.00,-80.9542,23.5454,-6853.9663,-415702000.00,766460000.00,10281000.00,364523356,308.6002,237.8632,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; newer basic weighted-average shares replace a stale instant share-count tag.
SPCX,2026-08-24,2026-08-04,2026-08-25T04:05:35.116Z,USD,1779543000000.00,1724306000000.00,7814000000.00,91.9430,,-1.8300,-541000000.00,93522000000.00,38285000000.00,13181800000,227.7378,220.6688,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; shares outstanding use a filing-cover override dated 2026-07-28 because companyfacts lacks a current instant fact.
STDN,2026-08-24,2026-07-16,2026-08-25T04:05:35.116Z,USD,1918442024.06,1918442024.06,,,,,,,,160673542,,,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; shares outstanding use a filing-cover override dated 2026-07-16 because companyfacts lacks a current instant fact.
VOYG,2026-08-24,2026-08-14,2026-08-25T04:05:35.116Z,USD,2077529864.00,1704093864.00,174230000.00,20.8420,9.5885,-88.4618,-136967000.00,373436000.00,,58521968,11.9241,9.7807,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; newer basic weighted-average shares replace a stale instant share-count tag.
VRT,2026-08-24,2026-07-29,2026-08-25T04:05:35.116Z,USD,98160434939.77,98289634939.77,11479600000.00,26.2327,,18.9432,1732000000.00,2810600000.00,2939800000.00,384988173,8.5509,8.5621,56.6746,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
WULF,2026-08-24,2026-08-05,2026-08-25T04:05:35.116Z,USD,7724034891.55,6206819891.55,165193000.00,14.6497,40.2166,-250.3659,-1949179000.00,2619191000.00,1101976000.00,498968677,46.7576,37.5731,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
WYFI,2026-08-24,2026-08-12,2026-08-25T04:05:35.116Z,USD,807263918.71,973801918.71,94497187.00,98.3600,59.5798,-42.3113,-44295538.00,56056000.00,222594000.00,38848118,8.5427,10.3051,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
XNDU,2026-08-24,2026-05-22,2026-08-25T04:05:35.116Z,USD,757192899.58,514760899.58,2832000.00,305.1502,,-371.2571,-8411000.00,272465000.00,30033000.00,72458652,267.3704,181.7659,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; newer basic weighted-average shares replace a stale instant share-count tag.
YSS,2026-08-24,2026-08-14,2026-08-25T04:05:35.116Z,USD,1340610256.24,953654256.24,398981000.00,375.8895,19.6646,-45.0252,-190148000.00,534000000.00,147044000.00,137357605,3.3601,2.3902,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
