symbol,price,currency,price_as_of,source,retrieved_at,notes
NUCL,5.4900,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
NWPX,127.2650,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
OCC,14.7000,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
OKLO,41.8300,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
POET,7.1000,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
PWR,620.0800,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
QBTS,19.5000,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
QSI,0.7838,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
QTEX,0.9448,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
QUBT,7.9500,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
RDW,8.8100,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
RGTI,15.6150,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
RIOT,21.9700,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
RKLB,66.9100,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
SEI,52.6000,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
SMR,8.5300,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
SPCX,113.4900,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
STDN,7.7200,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
VOYG,26.2400,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
VRT,287.1800,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
WULF,17.9800,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
WYFI,23.1550,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
XNDU,10.1900,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
YSS,18.8300,USD,2026-07-27,Alpaca IEX daily bar,2026-07-28T02:39:47.061Z,Completed regular-session IEX daily bar used after Yahoo chart HTTP 403; prior adjusted history retained.
