symbol,as_of,close,one_day_return_pct,one_month_return_pct,three_month_return_pct,ytd_return_pct,one_year_return_pct,fifty_two_week_high,fifty_two_week_low,position_in_52w_range_pct,sma_50,sma_200,rsi_14,volume,average_volume_30d,source,retrieved_at,notes
IREN,2026-08-19,42.8400,2.0000,27.4242,-10.2639,13.4234,106.9065,76.8700,17.2200,42.9505,43.9802,46.8333,58.9734,43804500,46141840,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
KTOS,2026-08-19,60.5600,-2.3068,31.5664,13.2598,-20.2213,-11.8999,134.0000,43.0900,19.2168,52.8496,73.2357,79.3793,2841400,3856190,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
LEU,2026-08-19,183.6800,4.5418,17.7059,8.6864,-24.3368,3.4409,464.2500,142.1300,12.8989,171.8844,217.4973,54.6692,526500,733710,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
LITE,2026-08-19,827.6000,-5.2341,12.9336,-7.0206,124.5313,595.5790,1085.6801,111.2000,73.5161,812.9940,645.8953,59.3199,4382000,4970060,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
LUNR,2026-08-19,18.5200,-4.0911,36.9822,-42.9452,14.1097,103.9648,46.7500,7.7800,27.5597,17.8909,19.4193,77.9163,9941000,10621540,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
MDA,2026-08-19,32.4300,-4.6457,7.2421,-16.7821,5.2922,5.2922,49.3700,23.2300,35.1951,35.3362,,63.1165,1428900,1736417,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
MU,2026-08-19,937.1100,-0.3880,10.3846,34.1143,228.3382,658.4864,1255.0000,113.4600,72.1525,962.3244,563.6852,58.2308,26661900,41368363,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
NBIS,2026-08-19,223.9000,-9.8740,25.9918,13.2352,167.4870,208.6573,299.8600,62.0100,68.0639,222.9510,148.3061,57.5594,50229100,25190377,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
NNE,2026-08-19,19.1500,4.9315,19.4635,-14.1063,-20.2416,-40.2589,60.8700,14.7100,9.6187,19.6464,26.2139,61.2580,1642800,2026047,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
NUCL,2026-08-19,7.5900,-2.6923,35.2941,-29.3953,-12.2543,-12.2543,14.2200,4.5500,31.4374,7.8218,,79.9392,232700,361507,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
