symbol,cik,exchange,filing_type,sec_form,source_url,source_published_at,retrieved_at,filing_path,section_start,section_end,accession_or_document_id,accession_number,primary_document,sec_form_original,acceptance_datetime,report_date,sec_submission_url,filing_selection_policy,filing_selection_tier,filing_selection_family,selection_reason,selected_sec_form_base,newer_supported_filing_displaced_count,newer_supported_filing_forms,lower_tier_newer_filing_forms,foundational_candidate_count,business_prospectus_424b_candidate_count,supplement_424b_candidate_count,unknown_424b_candidate_count,selection_warnings
GSAT,0001366868,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1366868/000136686826000031/gsat-20260513.htm,2026-05-15,2026-06-23,,,,0001366868-26-000031/gsat-20260513.htm,0001366868-26-000031,gsat-20260513.htm,8-K,2026-05-14T21:50:13.000Z,2026-05-13,https://data.sec.gov/submissions/CIK0001366868.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
IONQ,0001824920,NYSE,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1824920/000119312526276342/ionq-20260616.htm,2026-06-22,2026-06-23,,,,0001193125-26-276342/ionq-20260616.htm,0001193125-26-276342,ionq-20260616.htm,8-K,2026-06-18T21:55:16.000Z,2026-06-16,https://data.sec.gov/submissions/CIK0001824920.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
IREN,0001878848,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1878848/000114036126023427/ef20075181_8k.htm,2026-06-01,2026-06-23,,,,0001140361-26-023427/ef20075181_8k.htm,0001140361-26-023427,ef20075181_8k.htm,8-K,2026-06-01T11:06:02.000Z,2026-05-29,https://data.sec.gov/submissions/CIK0001878848.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
KTOS,0001069258,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1069258/000106925826000064/ktos-20260515.htm,2026-05-15,2026-06-23,,,,0001069258-26-000064/ktos-20260515.htm,0001069258-26-000064,ktos-20260515.htm,8-K,2026-05-15T20:03:54.000Z,2026-05-15,https://data.sec.gov/submissions/CIK0001069258.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
LEU,0001065059,NYSE,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1065059/000162828026044386/leu-20260618.htm,2026-06-18,2026-06-23,,,,0001628280-26-044386/leu-20260618.htm,0001628280-26-044386,leu-20260618.htm,8-K,2026-06-18T20:47:13.000Z,2026-06-18,https://data.sec.gov/submissions/CIK0001065059.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
LITE,0001633978,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1633978/000119312526249535/d112771d8k.htm,2026-06-01,2026-06-23,,,,0001193125-26-249535/d112771d8k.htm,0001193125-26-249535,d112771d8k.htm,8-K,2026-06-01T10:01:42.000Z,2026-05-29,https://data.sec.gov/submissions/CIK0001633978.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
LUNR,0001844452,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1844452/000162828026041526/lunr-20260608.htm,2026-06-08,2026-06-23,,,,0001628280-26-041526/lunr-20260608.htm,0001628280-26-041526,lunr-20260608.htm,8-K,2026-06-08T20:04:33.000Z,2026-06-08,https://data.sec.gov/submissions/CIK0001844452.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
MU,0000723125,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/723125/000110465926071845/tm2617112d1_8k.htm,2026-06-09,2026-06-23,,,,0001104659-26-071845/tm2617112d1_8k.htm,0001104659-26-071845,tm2617112d1_8k.htm,8-K,2026-06-09T20:13:47.000Z,2026-06-09,https://data.sec.gov/submissions/CIK0000723125.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
NBIS,0001513845,Nasdaq,6-K,6-K,https://www.sec.gov/Archives/edgar/data/1513845/000110465926074352/tm2618059d1_6k.htm,2026-06-16,2026-06-23,,,,0001104659-26-074352/tm2618059d1_6k.htm,0001104659-26-074352,tm2618059d1_6k.htm,6-K,2026-06-16T12:58:10.000Z,2026-06-16,https://data.sec.gov/submissions/CIK0001513845.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,6-K,0,,,0,0,0,0,
OKLO,0001849056,NYSE,10-Q,10-Q/A,https://www.sec.gov/Archives/edgar/data/1849056/000184905626000037/oklo-20260331.htm,2026-06-17,2026-06-23,,,,0001849056-26-000037/oklo-20260331.htm,0001849056-26-000037,oklo-20260331.htm,10-Q/A,2026-06-17T00:37:40.000Z,2026-03-31,https://data.sec.gov/submissions/CIK0001849056.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
PWR,0001050915,NYSE,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1050915/000119312526241989/d122565d8k.htm,2026-05-27,2026-06-23,,,,0001193125-26-241989/d122565d8k.htm,0001193125-26-241989,d122565d8k.htm,8-K,2026-05-27T20:30:30.000Z,2026-05-21,https://data.sec.gov/submissions/CIK0001050915.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
RDW,0001819810,NYSE,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1819810/000181981026000081/rdw-20260618.htm,2026-06-18,2026-06-23,,,,0001819810-26-000081/rdw-20260618.htm,0001819810-26-000081,rdw-20260618.htm,8-K,2026-06-18T20:17:04.000Z,2026-06-18,https://data.sec.gov/submissions/CIK0001819810.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
RKLB,0001819994,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1819994/000181999426000056/rklb-20260603.htm,2026-06-05,2026-06-23,,,,0001819994-26-000056/rklb-20260603.htm,0001819994-26-000056,rklb-20260603.htm,8-K,2026-06-05T20:15:29.000Z,2026-06-03,https://data.sec.gov/submissions/CIK0001819994.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
VOYG,0001788060,NYSE,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1788060/000162828026044277/voyg-20260618.htm,2026-06-18,2026-06-23,,,,0001628280-26-044277/voyg-20260618.htm,0001628280-26-044277,voyg-20260618.htm,8-K,2026-06-18T20:09:34.000Z,2026-06-18,https://data.sec.gov/submissions/CIK0001788060.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
VRT,0001674101,NYSE,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1674101/000162828026044317/vrt-20260617.htm,2026-06-18,2026-06-23,,,,0001628280-26-044317/vrt-20260617.htm,0001628280-26-044317,vrt-20260617.htm,8-K,2026-06-18T20:17:55.000Z,2026-06-17,https://data.sec.gov/submissions/CIK0001674101.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
XNDU,0002097163,Nasdaq,6-K,6-K,https://www.sec.gov/Archives/edgar/data/2097163/000121390026059832/ea0291791-6k_xanadu.htm,2026-05-21,2026-06-23,,,,0001213900-26-059832/ea0291791-6k_xanadu.htm,0001213900-26-059832,ea0291791-6k_xanadu.htm,6-K,2026-05-21T11:36:54.000Z,2026-05-21,https://data.sec.gov/submissions/CIK0002097163.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,6-K,0,,,0,0,0,0,
YSS,0002086587,NYSE,8-K,8-K/A,https://www.sec.gov/Archives/edgar/data/2086587/000162828026040636/yss-20260515.htm,2026-06-04,2026-06-23,,,,0001628280-26-040636/yss-20260515.htm,0001628280-26-040636,yss-20260515.htm,8-K/A,2026-06-04T12:52:18.000Z,2026-05-15,https://data.sec.gov/submissions/CIK0002086587.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
