symbol,cik,exchange,filing_type,sec_form,source_url,source_published_at,retrieved_at,filing_path,section_start,section_end,accession_or_document_id,accession_number,primary_document,sec_form_original,acceptance_datetime,report_date,sec_submission_url,filing_selection_policy,filing_selection_tier,filing_selection_family,selection_reason,selected_sec_form_base,newer_supported_filing_displaced_count,newer_supported_filing_forms,lower_tier_newer_filing_forms,foundational_candidate_count,business_prospectus_424b_candidate_count,supplement_424b_candidate_count,unknown_424b_candidate_count,selection_warnings
ALAB,0001736297,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000027/alab-20260604.htm,2026-06-08,2026-06-23,,,,0001736297-26-000027/alab-20260604.htm,0001736297-26-000027,alab-20260604.htm,8-K,2026-06-08T21:07:19.000Z,2026-06-04,https://data.sec.gov/submissions/CIK0001736297.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
ASTS,0001780312,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1780312/000149315226028544/form8-k.htm,2026-06-15,2026-06-23,,,,0001493152-26-028544/form8-k.htm,0001493152-26-028544,form8-k.htm,8-K,2026-06-12T22:07:32.000Z,2026-06-12,https://data.sec.gov/submissions/CIK0001780312.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
BE,0001664703,NYSE,8-K,8-K/A,https://www.sec.gov/Archives/edgar/data/1664703/000119312526277682/d168613d8ka.htm,2026-06-22,2026-06-23,,,,0001193125-26-277682/d168613d8ka.htm,0001193125-26-277682,d168613d8ka.htm,8-K/A,2026-06-22T17:10:03.000Z,2026-06-15,https://data.sec.gov/submissions/CIK0001664703.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
CBRS,0002021728,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/2021728/000162828026035605/closing8-k.htm,2026-05-15,2026-06-23,,,,0001628280-26-035605/closing8-k.htm,0001628280-26-035605,closing8-k.htm,8-K,2026-05-15T16:23:01.000Z,2026-05-15,https://data.sec.gov/submissions/CIK0002021728.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
CRCL,0001876042,NYSE,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1876042/000187604226000192/crcl-20260612.htm,2026-06-12,2026-06-23,,,,0001876042-26-000192/crcl-20260612.htm,0001876042-26-000192,crcl-20260612.htm,8-K,2026-06-12T17:01:31.000Z,2026-06-12,https://data.sec.gov/submissions/CIK0001876042.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
CRDO,0001807794,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1807794/000162828026039474/crdo-20260528.htm,2026-06-01,2026-06-23,,,,0001628280-26-039474/crdo-20260528.htm,0001628280-26-039474,crdo-20260528.htm,8-K,2026-06-01T20:08:16.000Z,2026-05-28,https://data.sec.gov/submissions/CIK0001807794.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
CRWV,0001769628,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000291/crwv-20260618.htm,2026-06-18,2026-06-23,,,,0001769628-26-000291/crwv-20260618.htm,0001769628-26-000291,crwv-20260618.htm,8-K,2026-06-18T20:09:19.000Z,2026-06-18,https://data.sec.gov/submissions/CIK0001769628.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
ETN,0001551182,NYSE,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1551182/000095014226001733/eh260792115_8k.htm,2026-06-11,2026-06-23,,,,0000950142-26-001733/eh260792115_8k.htm,0000950142-26-001733,eh260792115_8k.htm,8-K,2026-06-11T10:40:28.000Z,2026-06-10,https://data.sec.gov/submissions/CIK0001551182.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
FLY,0001860160,Nasdaq,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1860160/000119312526259679/fly-20260604.htm,2026-06-05,2026-06-23,,,,0001193125-26-259679/fly-20260604.htm,0001193125-26-259679,fly-20260604.htm,8-K,2026-06-05T20:28:15.000Z,2026-06-04,https://data.sec.gov/submissions/CIK0001860160.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,8-K,0,,,0,0,0,0,
FN,0001408710,NYSE,10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/1408710/000140871026000016/fn-20260327.htm,2026-05-05,2026-06-23,,,,0001408710-26-000016/fn-20260327.htm,0001408710-26-000016,fn-20260327.htm,10-Q,2026-05-05T11:14:28.000Z,2026-03-27,https://data.sec.gov/submissions/CIK0001408710.json,latest-supported,material_event_or_periodic_filing,material_event_or_periodic_filing,selected_latest_supported_filing,10-Q,0,,,0,0,0,0,
