symbol,cik,exchange,filing_type,sec_form,source_url,source_published_at,retrieved_at,filing_path,section_start,section_end,accession_or_document_id,accession_number,primary_document,sec_form_original,acceptance_datetime,report_date,sec_submission_url,filing_selection_policy,filing_selection_tier,filing_selection_family,selection_reason,selected_sec_form_base,newer_supported_filing_displaced_count,newer_supported_filing_forms,lower_tier_newer_filing_forms,foundational_candidate_count,business_prospectus_424b_candidate_count,supplement_424b_candidate_count,unknown_424b_candidate_count,selection_warnings
ASTS,0001780312,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1780312/000178031226000006/asts-20251231.htm,2026-03-02,2026-06-01,,,,0001780312-26-000006/asts-20251231.htm,0001780312-26-000006,asts-20251231.htm,10-K,2026-03-02T21:39:58.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001780312.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,17,34,23,0,
CRDO,0001807794,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1807794/000162828025033813/crdo-20250503.htm,2025-07-02,2026-06-01,,,,0001628280-25-033813/crdo-20250503.htm,0001628280-25-033813,crdo-20250503.htm,10-K,2025-07-01T21:52:06.000Z,2025-05-03,https://data.sec.gov/submissions/CIK0001807794.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,1,424B5,424B5,7,1,3,0,newer_supported_filing_displaced_by_policy
RKLB,0001819994,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1819994/000181999426000013/rklb-20251231.htm,2026-02-26,2026-06-01,,,,0001819994-26-000013/rklb-20251231.htm,0001819994-26-000013,rklb-20251231.htm,10-K,2026-02-26T21:31:49.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001819994.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,3,424B5;424B7,424B5;424B7,14,55,7,0,newer_supported_filing_displaced_by_policy
VRT,0001674101,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,2026-02-13,2026-06-01,,,,0001674101-26-000008/vrt-20251231.htm,0001674101-26-000008,vrt-20251231.htm,10-K,2026-02-13T21:10:21.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001674101.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,2,424B5,424B5,14,23,2,0,newer_supported_filing_displaced_by_policy
