symbol,cik,exchange,filing_type,sec_form,source_url,source_published_at,retrieved_at,filing_path,section_start,section_end,accession_or_document_id,accession_number,primary_document,sec_form_original,acceptance_datetime,report_date,sec_submission_url,filing_selection_policy,filing_selection_tier,filing_selection_family,selection_reason,selected_sec_form_base,newer_supported_filing_displaced_count,newer_supported_filing_forms,lower_tier_newer_filing_forms,foundational_candidate_count,business_prospectus_424b_candidate_count,supplement_424b_candidate_count,unknown_424b_candidate_count,selection_warnings
KEEL,0001812477,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1812477/000121390026037514/ea0282809-10k_bitfarms.htm,2026-03-31,2026-08-22,,,,0001213900-26-037514/ea0282809-10k_bitfarms.htm,0001213900-26-037514,ea0282809-10k_bitfarms.htm,10-K,2026-03-31T20:31:14.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001812477.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,1,1,0,0,
KTOS,0001069258,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1069258/000106925826000013/ktos-20251228.htm,2026-02-23,2026-08-22,,,,0001069258-26-000013/ktos-20251228.htm,0001069258-26-000013,ktos-20251228.htm,10-K,2026-02-23T21:48:04.000Z,2025-12-28,https://data.sec.gov/submissions/CIK0001069258.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,3,424B3;424B5,424B3;424B5,6,4,8,0,newer_supported_filing_displaced_by_policy
LASR,0001124796,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1124796/000112479626000012/lasr-20251231.htm,2026-02-27,2026-08-22,,,,0001124796-26-000012/lasr-20251231.htm,0001124796-26-000012,lasr-20251231.htm,10-K,2026-02-27T16:20:50.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001124796.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,12,2,4,0,
LEU,0001065059,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1065059/000162828026007117/leu-20251231.htm,2026-02-11,2026-08-22,,,,0001628280-26-007117/leu-20251231.htm,0001628280-26-007117,leu-20251231.htm,10-K,2026-02-11T12:26:45.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001065059.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,17,0,8,0,
LITE,0001633978,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1633978/000162828026057358/lite-20260627.htm,2026-08-17,2026-08-22,,,,0001628280-26-057358/lite-20260627.htm,0001628280-26-057358,lite-20260627.htm,10-K,2026-08-17T20:03:17.000Z,2026-06-27,https://data.sec.gov/submissions/CIK0001633978.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,11,1,0,0,
LUNR,0001844452,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1844452/000162828026019865/lunr-20251231.htm,2026-03-19,2026-08-22,,,,0001628280-26-019865/lunr-20251231.htm,0001628280-26-019865,lunr-20251231.htm,10-K,2026-03-19T20:56:14.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001844452.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,1,424B5,424B5,20,51,2,0,newer_supported_filing_displaced_by_policy
MTSI,0001493594,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1493594/000149359425000054/mtsi-20251003.htm,2025-11-14,2026-08-22,,,,0001493594-25-000054/mtsi-20251003.htm,0001493594-25-000054,mtsi-20251003.htm,10-K,2025-11-14T21:04:07.000Z,2025-10-03,https://data.sec.gov/submissions/CIK0001493594.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,10,0,0,0,
MU,0000723125,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/723125/000072312525000028/mu-20250828.htm,2025-10-03,2026-08-22,,,,0000723125-25-000028/mu-20250828.htm,0000723125-25-000028,mu-20250828.htm,10-K,2025-10-03T18:42:25.000Z,2025-08-28,https://data.sec.gov/submissions/CIK0000723125.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,9,0,22,0,
NBIS,0001513845,Nasdaq,20-F,20-F/A,https://www.sec.gov/Archives/edgar/data/1513845/000110465926065681/nbis-20251231x20fa.htm,2026-05-22,2026-08-22,,,,0001104659-26-065681/nbis-20251231x20fa.htm,0001104659-26-065681,nbis-20251231x20fa.htm,20-F/A,2026-05-22T20:01:31.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001513845.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,20-F,0,,,25,1,10,0,
NNE,0001923891,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1923891/000149315225028285/form10-k.htm,2025-12-18,2026-08-22,,,,0001493152-25-028285/form10-k.htm,0001493152-25-028285,form10-k.htm,10-K,2025-12-18T13:17:20.000Z,2025-09-30,https://data.sec.gov/submissions/CIK0001923891.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,3,424B3;424B5,424B3;424B5,10,8,1,0,newer_supported_filing_displaced_by_policy
NUCL,0002089283,Nasdaq,S-1,S-1/A,https://www.sec.gov/Archives/edgar/data/2089283/000110465926047040/tmb-20260228xs1a.htm,2026-04-23,2026-08-22,,,,0001104659-26-047040/tmb-20260228xs1a.htm,0001104659-26-047040,tmb-20260228xs1a.htm,S-1/A,2026-04-23T01:09:52.000Z,,https://data.sec.gov/submissions/CIK0002089283.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,S-1,2,424B3,424B3,3,3,0,0,newer_supported_filing_displaced_by_policy
NWPX,0001001385,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1001385/000143774926005861/nwpx20251231_10k.htm,2026-02-26,2026-08-22,,,,0001437749-26-005861/nwpx20251231_10k.htm,0001437749-26-005861,nwpx20251231_10k.htm,10-K,2026-02-26T21:08:47.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001001385.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,20,0,1,0,
OCC,0001000230,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1000230/000143774925038228/occ20251031_10k.htm,2025-12-18,2026-08-22,,,,0001437749-25-038228/occ20251031_10k.htm,0001437749-25-038228,occ20251031_10k.htm,10-K,2025-12-18T16:31:00.000Z,2025-10-31,https://data.sec.gov/submissions/CIK0001000230.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,27,0,0,0,
OKLO,0001849056,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1849056/000162828026018698/oklo-20251231.htm,2026-03-17,2026-08-22,,,,0001628280-26-018698/oklo-20251231.htm,0001628280-26-018698,oklo-20251231.htm,10-K,2026-03-17T20:05:06.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001849056.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,1,424B5,424B5,12,22,5,0,newer_supported_filing_displaced_by_policy
ONDS,0001646188,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1646188/000121390026035981/ea0282911-10k_ondas.htm,2026-03-30,2026-08-22,,,,0001213900-26-035981/ea0282911-10k_ondas.htm,0001213900-26-035981,ea0282911-10k_ondas.htm,10-K,2026-03-30T12:07:29.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001646188.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,25,424B7,424B7,31,7,60,0,newer_supported_filing_displaced_by_policy
POET,0001437424,Nasdaq,20-F,20-F,https://www.sec.gov/Archives/edgar/data/1437424/000149315226014253/form20-f.htm,2026-03-31,2026-08-22,,,,0001493152-26-014253/form20-f.htm,0001493152-26-014253,form20-f.htm,20-F,2026-03-31T20:43:59.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001437424.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,20-F,1,424B5,424B5,15,0,7,0,newer_supported_filing_displaced_by_policy
PWR,0001050915,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1050915/000105091526000006/pwr-20251231.htm,2026-02-19,2026-08-22,,,,0001050915-26-000006/pwr-20251231.htm,0001050915-26-000006,pwr-20251231.htm,10-K,2026-02-19T14:58:03.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001050915.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,2,424B5,424B5,14,0,10,0,newer_supported_filing_displaced_by_policy
QBTS,0001907982,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1907982/000190798226000026/qbts-20251231.htm,2026-02-26,2026-08-22,,,,0001907982-26-000026/qbts-20251231.htm,0001907982-26-000026,qbts-20251231.htm,10-K,2026-02-26T21:13:29.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001907982.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,15,107,8,0,
QNT,0002110105,Nasdaq,S-1,S-1/A,https://www.sec.gov/Archives/edgar/data/2110105/000162828026039286/quantinuum-sx1a2.htm,2026-06-01,2026-08-22,,,,0001628280-26-039286/quantinuum-sx1a2.htm,0001628280-26-039286,quantinuum-sx1a2.htm,S-1/A,2026-06-01T12:33:26.000Z,,https://data.sec.gov/submissions/CIK0002110105.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,S-1,1,424B4,424B4,3,1,0,0,newer_supported_filing_displaced_by_policy
QSI,0001816431,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1816431/000181643126000011/qsi-20251231.htm,2026-03-03,2026-08-22,,,,0001816431-26-000011/qsi-20251231.htm,0001816431-26-000011,qsi-20251231.htm,10-K,2026-03-03T21:34:16.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001816431.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,12,23,4,0,
QTEX,0001837493,Nasdaq,F-1,F-1,https://www.sec.gov/Archives/edgar/data/1837493/000118518526003070/qtrexf1072126.htm,2026-07-21,2026-08-22,,,,0001185185-26-003070/qtrexf1072126.htm,0001185185-26-003070,qtrexf1072126.htm,F-1,2026-07-21T21:26:02.000Z,,https://data.sec.gov/submissions/CIK0001837493.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,F-1,1,424B5,424B5,19,3,12,0,newer_supported_filing_displaced_by_policy
QUBT,0001758009,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1758009/000121390026022417/ea0278445-10k_quantum.htm,2026-03-02,2026-08-22,,,,0001213900-26-022417/ea0278445-10k_quantum.htm,0001213900-26-022417,ea0278445-10k_quantum.htm,10-K,2026-03-02T22:06:38.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001758009.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,24,6,4,0,
RCAT,0000748268,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/748268/000162828026019861/rcat-20251231.htm,2026-03-19,2026-08-22,,,,0001628280-26-019861/rcat-20251231.htm,0001628280-26-019861,rcat-20251231.htm,10-K,2026-03-19T20:53:18.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0000748268.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,2,424B5,424B5,34,2,12,0,newer_supported_filing_displaced_by_policy
